cmd,type,data
0x60,W,"file0.idx"
0x60,W,"file1.dat"
0x60,W,"file2.dat"
0x60,W,"file3.dat"
0x60,W,"file4.idx"
0x60,W,"file5.dat"
0x60,W,"file6.dat"
0x60,W,"file7.dat"
0x60,W,"file8.idx"
0x60,W,"file9.dat"
0x60,W,"file10.idx"
0x60,W,"file11.dat"
0x60,W,"file12.idx"
0x60,W,"file13.dat"
0x60,W,"file14.idx"
0x60,W,"file15.dat"
0x60,W,"file16.idx"
0x60,W,"file17.dat"
0x60,W,"file18.idx"
0x60,W,"file19.dat"
0x60,W,"file20.idx"
0x60,W,"file21.dat"
0x60,W,"file22.idx"
0x60,W,"file23.dat"
0x60,W,"file24.idx"
0x60,W,"file25.dat"
0x60,W,"file26.idx"
0x60,W,"file27.dat"
0x60,W,"file28.dat"
0x60,W,"file29.dat"
0x60,W,"file30.idx"
0x60,W,"file31.idx"
0x60,W,"file32.idx"
0x60,W,"file33.idx"
0x60,W,"file34.dat"
0x60,W,"file35.idx"
0x60,W,"file36.dat"
0x60,W,"file37.idx"
0x60,W,"file38.dat"
0x60,W,"file39.idx"
0x60,W,"file40.dat"
0x60,W,"file41.idx"
0x60,W,"file42.dat"
0x60,W,"file43.idx"
0x60,W,"file44.dat"
0x60,W,"file45.idx"
0x60,W,"file46.dat"
0x60,W,"file47.idx"
0x60,W,"file48.dat"
0x60,W,"file49.dat"
0x60,W,"file50.idx"
0x60,W,"file51.dat"
0x60,W,"file52.idx"
0x60,W,"file53.dat"
0x60,W,"file54.idx"
0x60,W,"file55.dat"
0x60,W,"file56.idx"
0x60,W,"file57.idx"
0x60,W,"file58.idx"
0x60,W,"file59.dat"
0x60,W,"file60.idx"
0x60,W,"file61.dat"
0x60,W,"file62.idx"
0x60,W,"file63.dat"
0x60,W,"file64.dat"
0x60,W,"file65.idx"
0x60,W,"file66.dat"
0x60,W,"file67.dat"
0x60,W,"file68.idx"
0x60,W,"file69.dat"
0x60,W,"file70.dat"
0x60,W,"file71.idx"
0x60,W,"file72.dat"
0x60,W,"file73.idx"
0x60,W,"file74.dat"
0x60,W,"file75.idx"
0x60,W,"file76.dat"
0x60,W,"file77.dat"
0x60,W,"file78.dat"
0x60,W,"file79.dat"
0x60,W,"file80.dat"
0x60,W,"file81.dat"
0x60,W,"file82.dat"
0x60,W,"file83.dat"
0x60,W,"file84.idx"
0x60,W,"file85.idx"
0x60,W,"file86.idx"
0x60,W,"file87.dat"
0x60,W,"file88.idx"
0x31,W,
